Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url,Streaming_Platform
06-08-2021,"My Hero Academia: World Heroes' Mission","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",1485.064,100,7.3,japanese,"Animation, Action, Fantasy, Adventure",https://image.tmdb.org/t/p/original/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg,Hotstar
25-02-2022,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",1468.377,107,5.9,french,"Action, Thriller, Crime",https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,Netflix
02-12-2021,"Nightmare Alley","An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.",1455.144,952,7.1,english,"Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg,SonyLiv
28-01-2022,"The Ice Age Adventures of Buck Wild","The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.",1431.307,737,7.1,english,"Animation, Comedy, Adventure, Family",https://image.tmdb.org/t/p/original/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,SonyLiv
18-02-2022,"Texas Chainsaw Massacre","In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin.",1312.79,521,5.1,english,Horror,https://image.tmdb.org/t/p/original/meRIRfADEGVo65xgPO6eZvJ0CRG.jpg,Hotstar
28-01-2022,"The Requin","A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",1252.317,65,4.6,english,Thriller,https://image.tmdb.org/t/p/original/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,SonyLiv
04-02-2022,"Looop Lapeta","When her boyfriend loses a mobster's cash, Savi races against the clock to save the day â€” if only she can break out of a curious cycle of dead ends.",1240.946,31,6,Hindi,"Action, Comedy, Crime",https://image.tmdb.org/t/p/original/onGdT8sYi89drvSJyEJnft97rOq.jpg,SonyLiv
04-03-2023,"Live Telecast part-1","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
05-4-2023,"Live Telecast part-2","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
06-03-2023,"Live Telecast part-3","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
07-05-2023,"Live Telecast part-4","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
10-04-2023,"Live Telecast part-5","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
11-07-2024,"Live Telecast part-6","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
11-12-2024,"Live Telecast part-7","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.7",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
12-09-2024,"Live Telecast part-8","TV show director Jenifer Matthew will do anything to win the TRP game, and a supposedly haunted house in a sleepy hill station may just be her golden ticket.",160.99,70678,9.99,Tamil,"Horror, Thrilling",https://tse3.mm.bing.net/th?id=OIP.Rqd84kohQpraJvLJFChNXwHaEK&pid=Api&P=0&h=180.jpg,Amazon
11-03-2020,"Harry Potter- part1","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
11-02-2021,"Harry Potter- part2","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
07-06-2022,"Harry Potter- part3","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
09-08-2022,"Harry Potter- part4","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
11-10-2023,"Harry Potter- part5","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
11-02-2024,"Harry Potter- part6","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
11-05-2024,"Harry Potter- part7","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
02-08-2024,"Harry Potter- part8","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",154.86,69851,9.45,english,"Adventure, fantasy",https://m.media-amazon.com/images/M/MV5BYmQxOTBiMDctZjUyNy00MGYwLWJmOWYtZTUwNGEwMTkyMjdjXkEyXkFqcGdeQXVyMjk2MTQxMzg@._V1_FMjpg_UX1000_.jpg,Amazon
